"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SauceDemo open page","open page","Opening the page with positive cred","0","0","1","0","0"
"SauceDemo Log in","Log in","Log in with negative cred","0","0","3","0","0"
"","","","0","0","4","0","0"
"SauceDemo remove button","Remove button","Test of remove button","0","0","1","0","0"
"SauceDemo checkout","checkout","Test of checkout","0","0","1","0","0"
"SauceDemo back to product page","Product page","Test of return to product page","0","0","1","0","0"
"SauceDemo Sorting","Sorting","Sorting with positive cred","0","0","4","0","0"
"SauceDemo Log in","Log in","Log in with positive cred","0","0","1","0","0"
"SauceDemo checkout test","checkout test","Test of checkout","0","0","1","0","0"
"SauceDemo Log in","Open product page test","Open product page test","0","0","1","0","0"
